,train_loss,test_loss
0,838.1063106761259,794.8549194335938
1,855.9485206604004,789.59130859375
2,847.9039643231561,784.2027587890625
3,835.5845695944394,778.858642578125
4,861.5771602181827,773.5545043945312
5,906.8802947998047,768.1669311523438
6,834.500087962431,762.727294921875
7,799.8657549689798,757.32763671875
8,822.8054349562701,752.13623046875
9,830.479357102338,746.8778686523438
10,777.4402521918802,741.5096435546875
11,810.2114598891314,736.2876586914062
12,769.2484507841223,731.0131225585938
13,796.8460711310892,725.6920166015625
14,755.4822459501379,720.3948364257812
15,751.882069307215,715.2546997070312
16,753.298365873449,710.0637817382812
17,738.5435010124655,704.9505004882812
18,744.0510025024414,699.952880859375
19,744.6353185317096,694.861083984375
20,719.8984249339384,689.94970703125
21,722.5141170726102,685.0283203125
22,710.2761320226333,679.9299926757812
23,708.3975515926586,674.8925170898438
24,706.0239347570083,670.10400390625
25,702.324680777157,665.2216186523438
26,716.1179351806641,660.292724609375
27,711.7508379992316,655.576171875
28,683.9196202895221,651.0565185546875
29,687.2728235581342,646.1888427734375
30,707.5172199922449,641.261474609375
31,666.6199631410486,636.5201416015625
32,656.6240790872013,631.7354736328125
33,683.2643755744485,627.052490234375
34,675.4656841053683,622.2886962890625
35,663.9528615614947,617.4553833007812
36,652.775686600629,612.9979858398438
37,630.9726160834817,608.3726806640625
38,650.4568938647999,604.1084594726562
39,631.8234686010024,599.7200317382812
40,655.708299075856,595.2305908203125
41,611.6383159861845,590.7049560546875
42,632.3589639102711,586.154541015625
43,626.3718477136948,581.4810791015625
44,605.7325601016773,576.9417114257812
45,593.6046981811523,572.4412841796875
46,611.03563376034,567.9502563476562
47,588.33056640625,563.37451171875
48,574.9073342715992,558.8108520507812
49,594.5424813663258,554.2651977539062
50,570.4111821791705,549.7449951171875
51,563.4099094166476,545.2798461914062
52,579.2837264117072,540.898193359375
53,549.4017838870777,536.5811767578125
54,558.2981286890366,532.4979858398438
55,548.2365121280445,528.2332153320312
56,570.1277578017291,523.9912719726562
57,598.8971456639907,519.7304077148438
58,542.6882539636948,515.5623779296875
59,520.7999997980454,511.3686218261719
60,527.0523226681878,507.38983154296875
61,528.0215512443991,503.3484191894531
62,553.2460345099954,499.1636962890625
63,555.7767118566177,494.9766845703125
64,593.9063049765194,490.9586181640625
65,516.6451541676241,486.9007568359375
66,504.34007633433623,482.97222900390625
67,486.0611558801988,478.8963623046875
68,543.2226948457605,474.94232177734375
69,520.1042666715734,471.30596923828125
70,501.59683990478516,467.3975524902344
71,504.13437428193936,463.389404296875
72,469.69558850456684,459.5771789550781
73,459.7539069231819,455.8744812011719
74,457.0063555100385,452.229248046875
75,457.335153018727,448.44451904296875
76,511.0463077320772,444.793701171875
77,451.28166108972886,441.1064758300781
78,440.573735854205,437.42718505859375
79,441.2917295343736,433.92730712890625
80,430.6244320308461,430.4975280761719
81,433.79508585088394,427.3250732421875
82,432.28975273581113,423.68743896484375
83,448.7546723309685,420.05010986328125
84,442.29607525993794,416.31097412109375
85,416.7822555093204,412.698974609375
86,413.6259779088637,409.1571044921875
87,412.162649715648,405.5568542480469
88,419.3274412716136,401.9662170410156
89,457.9472026824951,398.5759582519531
90,393.8704198949477,395.12982177734375
91,403.8700294494629,391.76214599609375
92,404.45312051212085,388.32464599609375
93,390.53546007941753,384.8783874511719
94,396.6422888811897,381.62200927734375
95,388.1993558547076,378.33245849609375
96,376.93247469733745,374.9480895996094
97,368.69938300637637,371.65069580078125
98,362.49813551061294,368.2283630371094
99,376.01498592601104,364.9658508300781
